userId,movieId,rating,timestamp
1,1,5.0,1621840000
1,2,4.5,1621840100
1,3,5.0,1621840200
1,5,4.0,1621840300
1,11,4.5,1621840400
2,1,4.0,1621840500
2,3,5.0,1621840600
2,4,4.5,1621840700
2,14,4.0,1621840800
2,17,3.5,1621840900
3,7,5.0,1621841000
3,8,4.5,1621841100
3,22,4.0,1621841200
3,20,5.0,1621841300
4,9,5.0,1621841400
4,10,4.0,1621841500
4,12,4.5,1621841600
4,21,4.5,1621841700
5,13,5.0,1621841800
5,14,4.0,1621841900
5,15,4.5,1621842000
5,16,4.5,1621842100
6,2,4.0,1621842200
6,3,4.5,1621842300
6,5,4.5,1621842400
6,25,5.0,1621842500
7,23,4.0,1621842600
7,24,3.5,1621842700
7,15,4.0,1621842800
7,13,4.5,1621842900
8,1,4.5,1621843000
8,2,4.5,1621843100
8,18,5.0,1621843200
8,17,4.0,1621843300
9,7,4.5,1621843400
9,8,5.0,1621843500
9,20,4.5,1621843600
10,9,4.0,1621843700
10,10,4.5,1621843800
10,13,5.0,1621843900
10,3,5.0,1621844000
1,18,4.5,1621844100
2,18,4.0,1621844200
3,1,4.5,1621844300
4,1,4.0,1621844400
5,1,5.0,1621844500
6,1,4.5,1621844600
7,1,4.0,1621844700
8,3,5.0,1621844800
9,3,5.0,1621844900
10,1,5.0,1621845000
1,25,4.5,1621845100
2,25,4.0,1621845200
3,25,4.5,1621845300
4,25,4.5,1621845400
5,25,4.0,1621845500
6,25,5.0,1621845600
7,25,4.0,1621845700
8,25,4.5,1621845800
9,25,4.5,1621845900
10,25,5.0,1621846000
1,2,5.0,1621846100
2,2,4.5,1621846200
3,2,4.0,1621846300
4,2,4.5,1621846400
5,2,4.5,1621846500
6,2,4.0,1621846600
7,2,4.0,1621846700
8,2,4.5,1621846800
9,2,4.5,1621846900
10,2,5.0,1621847000
